GO	description	category	D1_S02_1L-s_R03	D1_S02_2.5L-s_R01.1	D1_S02_2.5L-s_R01.3	D1_S02_10L-s_R02	D1_S02_10L-m_R01	D1_S02_10L-m_R02	D1_S20_30L-m_R123	D1_S023_10L-m_R01	D1_S023_10L-m_R02	D1_S320_10L-m_R01	D1_S320_10L-m_R02	D1_S320_10L-m_R03	D1_S20_120L-m_R01	D1_S20_100L-m_R02	D1_S023_60L-m_R01	D1_S023_100L-m_R02	D1_S023_60L-m_R03	D1_S320_60L-m_R01	D1_S320_100L-m_R02	D1_S320_60L-m_R03	D1_S20_496L-m_R00	D1_S20_100L-m_R02	D1_S20_100L-m_R03	D1_S023_100L-m_R01	D1_S023_100L-m_R03	D1_S320_100L-m_R03	D2_S20_100L-m_R11	D2_S023_1000L-m_R00	D1_S02_1L-s_R01	D1_S02_1L-s_R02	D1_S02_10L-s_R01	D1_S02_2.5L-s_R01.2	D1_S02_2.5L-s_R01.4	D1_S02_10L-s_R03	D1_S02_10L-m_R03	D1_S023_10L-m_R03	D1_S20_60L-m_R03	D1_S20_100L-m_R01	D1_S023_496L-m_R00	D1_S023_100L-m_R02	D1_S320_496L-m_R00	D1_S320_100L-m_R01	D1_S320_100L-m_R02	D2_S20_1000L-m_R00	D2_S023_100L-m_R11	D2_S320_1000L-m_R00	D2_S320_100L-m_R11	D1_S20_776L-m_R00	D1_S023_716L-m_R00	D1_S320_716L-m_R00
GO:0009056	catabolic process	biological process	7	7	6	7	4	7	1	17	6	2	1	0	9	6	13	13	16	8	4	6	6	2	5	9	9	10	3	7	7	9	13	14	11	7	11	10	4	1	11	17	6	5	5	2	13	5	8	10	18	11
GO:0009058	biosynthetic process	biological process	6222	5006	4963	5449	3296	4766	99	11358	5187	981	639	265	3039	1293	10070	11150	10288	5168	3097	3780	2133	151	2309	9481	10745	6294	307	8194	8249	10216	9567	10617	9101	8589	14312	6666	196	999	12909	13926	4269	4172	3253	275	14709	3651	4593	2078	16786	8524
GO:0009059	macromolecule biosynthetic process	biological process	1	1	1	1	1	1	0	2	1	0	0	0	0	0	2	2	2	1	0	1	0	0	1	2	2	1	0	0	0	0	2	1	1	2	1	0	0	0	1	2	0	1	0	0	1	0	0	1	2	2
GO:0009060	aerobic respiration	biological process	377	323	263	367	197	288	40	567	312	116	99	46	258	138	565	588	508	354	197	285	202	34	173	452	493	355	47	373	533	622	572	633	563	551	796	410	37	146	654	720	325	317	245	37	700	299	343	216	800	562
GO:0009061	anaerobic respiration	biological process	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0
GO:0009062	fatty acid catabolic process	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
GO:0009063	cellular amino acid catabolic process	biological process	128	100	108	110	62	100	1	190	114	20	7	0	35	13	178	204	181	90	53	76	30	2	31	140	170	112	3	133	151	178	172	176	170	174	243	115	1	12	194	232	83	79	64	6	208	65	76	39	267	140
GO:0009072	aromatic amino acid family metabolic process	biological process	24	23	20	24	12	21	13	48	21	8	5	0	30	33	46	53	47	29	12	24	43	5	32	43	44	27	16	31	34	44	45	44	39	38	49	13	25	39	43	47	23	19	16	21	35	20	23	55	62	40
GO:0009073	aromatic amino acid family biosynthetic process	biological process	690	551	543	602	355	521	5	1180	542	96	58	16	289	116	1079	1189	1066	509	303	390	217	11	229	928	1055	612	29	758	966	1126	1044	1196	1035	968	1566	742	5	83	1328	1484	486	461	385	22	1471	396	482	199	1627	845
GO:0009081	branched-chain amino acid metabolic process	biological process	102	86	81	90	56	81	0	195	77	9	6	1	31	7	192	204	166	79	44	58	16	1	18	154	166	96	3	113	124	135	118	146	137	126	189	91	1	6	164	194	50	42	37	1	181	43	54	22	216	97
GO:0009082	branched-chain amino acid biosynthetic process	biological process	507	431	417	443	253	369	2	846	396	63	47	10	169	65	763	898	759	391	209	260	109	6	116	684	699	435	18	552	624	713	719	788	706	653	1036	532	0	57	857	903	322	312	247	10	984	290	380	134	1006	558
GO:0009085	lysine biosynthetic process	biological process	6	4	4	5	3	5	0	6	3	1	0	0	1	0	7	7	8	3	0	2	0	0	1	9	7	5	0	0	6	7	7	9	7	6	7	3	0	0	7	5	2	2	1	0	2	0	0	0	7	4
GO:0009086	methionine biosynthetic process	biological process	270	219	209	215	129	202	5	424	208	38	27	12	105	46	419	480	412	197	114	147	86	3	75	344	376	264	10	271	300	356	357	366	331	335	477	252	11	46	417	440	136	140	120	11	422	131	170	88	552	283
GO:0009088	threonine biosynthetic process	biological process	129	109	110	101	68	103	0	236	99	9	6	0	29	7	199	249	218	89	50	66	23	0	22	184	193	126	1	158	140	169	162	178	161	151	244	112	0	10	222	236	65	64	50	4	257	65	89	21	268	125
GO:0009089	lysine biosynthetic process via diaminopimelate	biological process	1051	844	831	947	562	812	4	1788	837	121	66	22	370	128	1607	1818	1657	842	441	597	247	11	288	1470	1662	947	35	1252	1342	1619	1552	1682	1517	1381	2221	1139	4	113	2015	2125	695	672	526	24	2263	558	731	265	2439	1283
GO:0009094	L-phenylalanine biosynthetic process	biological process	211	170	173	187	121	156	1	347	181	34	25	5	92	34	333	359	347	172	113	124	59	4	79	290	337	202	13	259	294	377	329	370	342	305	493	253	1	25	433	486	149	149	117	9	470	122	155	61	558	268
GO:0009097	isoleucine biosynthetic process	biological process	144	123	121	118	73	112	1	238	108	12	5	0	37	9	226	262	226	105	53	79	24	1	26	192	205	136	2	165	149	181	182	197	178	168	247	128	0	10	228	238	75	69	63	3	252	68	90	26	274	129
GO:0009098	leucine biosynthetic process	biological process	589	467	484	503	295	438	4	1027	432	53	30	4	184	73	919	1072	953	421	233	300	108	3	138	784	864	517	17	679	717	877	832	927	833	777	1222	600	1	63	1062	1143	356	349	269	11	1182	342	397	139	1306	654
GO:0009102	biotin biosynthetic process	biological process	72	63	51	69	37	57	0	120	62	12	3	8	23	12	117	132	114	72	34	53	22	1	20	102	109	79	1	83	92	92	90	106	100	94	125	71	0	13	114	125	43	45	31	0	114	41	43	35	148	95
GO:0009103	lipopolysaccharide biosynthetic process	biological process	137	109	113	122	47	97	0	306	112	6	6	3	39	13	278	338	267	98	42	69	29	0	19	267	290	116	2	219	144	218	197	233	195	161	313	117	1	9	315	319	56	48	45	1	376	60	59	26	442	148
GO:0009107	lipoate biosynthetic process	biological process	240	181	194	197	116	179	3	381	193	25	16	4	82	35	324	374	371	176	107	132	63	3	72	322	357	206	5	281	270	356	321	354	322	303	479	237	2	29	443	466	146	148	117	5	479	131	143	66	531	280
GO:0009108	coenzyme biosynthetic process	biological process	29	19	19	23	8	16	0	40	18	1	0	0	1	0	40	36	33	17	5	8	1	0	3	38	36	20	0	13	24	37	34	30	35	30	41	17	0	1	38	39	9	7	8	0	25	6	6	5	46	19
GO:0009113	purine nucleobase biosynthetic process	biological process	428	318	330	347	209	293	5	696	335	45	36	11	154	57	649	683	694	320	180	227	89	4	112	630	682	385	20	533	534	673	621	658	582	550	965	405	0	53	814	869	254	251	198	5	943	221	279	98	1019	492
GO:0009116	nucleoside metabolic process	biological process	910	736	706	773	418	659	15	1555	697	125	83	30	380	152	1444	1545	1441	767	390	557	250	16	268	1306	1482	821	33	1014	1146	1424	1336	1460	1304	1173	2012	942	29	156	1735	1832	563	533	439	32	1928	460	604	307	2211	1127
GO:0009117	nucleotide metabolic process	biological process	60	50	38	54	26	39	0	78	50	3	6	0	28	8	74	83	80	42	28	32	16	0	16	70	74	49	3	51	73	69	72	77	71	70	109	59	1	5	89	97	36	33	24	3	93	25	28	15	96	65
GO:0009132	nucleoside diphosphate metabolic process	biological process	6	5	6	5	5	5	1	7	7	0	0	0	3	1	8	8	7	4	4	4	2	0	3	6	7	5	1	7	7	9	9	8	10	7	12	5	0	1	8	9	4	4	4	0	7	2	2	2	10	7
GO:0009143	nucleoside triphosphate catabolic process	biological process	262	194	201	217	141	180	4	466	205	33	24	5	128	50	412	476	435	194	127	131	72	7	84	412	418	260	13	314	336	426	383	429	371	336	624	273	15	36	529	578	174	165	125	9	593	138	184	89	650	336
GO:0009152	purine ribonucleotide biosynthetic process	biological process	94	74	79	83	36	61	0	193	68	4	2	0	23	8	169	194	166	67	29	44	20	0	19	131	162	84	0	115	100	120	128	134	114	119	178	84	1	11	163	183	47	54	28	5	187	40	55	21	200	89
GO:0009156	ribonucleoside monophosphate biosynthetic process	biological process	125	101	101	107	76	97	4	211	99	15	11	1	42	30	188	220	193	101	58	69	36	2	37	185	212	104	5	166	169	192	208	213	185	176	271	143	5	20	246	256	101	83	73	7	275	74	97	40	306	165
GO:0009159	deoxyribonucleoside monophosphate catabolic process	biological process	21	19	17	23	14	16	1	33	21	4	0	1	13	4	30	38	29	19	8	17	6	0	5	31	30	21	0	19	24	31	33	32	35	32	43	21	2	1	36	41	13	12	13	2	28	11	9	9	42	27
GO:0009163	nucleoside biosynthetic process	biological process	9	9	9	10	3	8	0	17	7	0	0	0	1	0	13	14	14	9	5	5	0	0	1	12	11	8	0	8	8	10	10	10	13	8	13	5	0	1	10	11	5	7	4	0	12	5	5	1	17	11
GO:0009164	nucleoside catabolic process	biological process	4	4	4	4	4	4	0	4	6	3	0	0	1	0	6	4	4	4	3	3	2	0	1	6	4	5	0	4	7	5	7	8	5	10	9	6	0	0	7	6	3	6	4	0	7	4	5	1	7	6
GO:0009165	nucleotide biosynthetic process	biological process	355	328	300	335	215	301	14	569	287	53	34	8	172	94	550	610	574	320	185	230	131	12	141	525	577	344	31	450	519	592	570	581	537	493	828	438	24	74	709	743	268	248	201	26	761	218	259	139	900	485
GO:0009166	nucleotide catabolic process	biological process	100	77	91	86	50	67	9	146	83	14	11	0	63	56	129	119	122	86	46	71	77	10	55	119	122	96	22	92	108	141	144	124	133	135	176	87	33	48	142	154	68	67	57	29	146	56	65	75	187	121
GO:0009168	purine ribonucleoside monophosphate biosynthetic process	biological process	2	3	3	1	1	2	2	3	3	2	1	0	4	4	4	4	4	2	2	1	3	1	4	2	3	5	2	1	5	1	4	3	4	3	5	3	3	3	4	6	2	0	3	2	1	1	1	4	4	2
GO:0009190	cyclic nucleotide biosynthetic process	biological process	410	338	356	354	241	329	62	667	349	56	36	11	294	212	609	610	553	378	239	286	289	37	240	535	517	472	97	426	475	554	593	629	562	507	805	408	144	184	697	706	285	297	253	115	766	306	371	310	869	580
GO:0009214	cyclic nucleotide catabolic process	biological process	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	5	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	2	0	0	0	3	0	0
GO:0009225	nucleotide-sugar metabolic process	biological process	30	27	29	38	6	21	0	98	23	2	1	1	7	3	92	121	94	20	9	10	5	0	4	82	109	36	0	73	41	58	48	64	42	43	97	23	0	6	98	109	11	13	8	0	146	18	26	7	139	45
GO:0009228	thiamine biosynthetic process	biological process	237	179	173	201	113	170	0	452	196	33	22	10	97	38	335	419	394	184	100	134	58	2	67	340	377	238	2	283	274	340	345	358	328	311	518	214	4	33	460	501	141	133	114	4	578	120	153	63	612	312
GO:0009229	thiamine diphosphate biosynthetic process	biological process	38	30	32	33	22	31	3	59	25	5	2	0	18	12	61	57	50	27	17	23	10	1	10	51	39	37	2	36	49	63	58	62	54	43	74	37	2	8	64	60	21	24	15	3	55	18	19	14	76	40
GO:0009231	riboflavin biosynthetic process	biological process	903	743	743	813	497	706	12	1507	764	118	88	29	415	160	1324	1488	1409	747	422	542	266	19	330	1303	1437	846	37	1140	1193	1496	1361	1488	1385	1206	2024	1017	14	117	1845	1949	615	604	500	29	1991	508	638	262	2355	1140
GO:0009234	menaquinone biosynthetic process	biological process	58	44	45	44	25	34	0	68	38	8	1	1	18	5	79	90	66	45	21	31	15	0	15	71	68	37	0	52	53	57	54	70	63	63	81	38	0	10	81	81	23	23	19	1	69	21	29	18	96	61
GO:0009235	cobalamin metabolic process	biological process	0	1	0	0	1	0	2	1	0	0	1	0	4	8	1	0	1	1	1	1	8	4	3	0	0	1	2	0	1	1	0	0	0	0	4	2	5	5	0	1	0	0	0	4	0	0	0	6	1	3
GO:0009236	cobalamin biosynthetic process	biological process	624	490	553	553	382	472	1	960	561	119	47	9	269	121	882	944	874	496	363	404	188	17	211	695	811	593	8	645	768	891	934	965	848	871	1206	664	1	72	1062	1105	482	457	401	5	1134	370	462	238	1390	775
GO:0009239	enterobactin biosynthetic process	biological process	7	9	9	9	4	7	0	11	7	1	1	0	3	1	12	15	12	6	5	4	2	0	2	10	10	7	0	9	9	11	14	13	12	12	11	9	0	0	14	12	4	4	6	0	16	6	6	4	23	8
GO:0009244	lipopolysaccharide core region biosynthetic process	biological process	8	4	7	6	4	5	0	9	5	0	0	0	1	0	13	10	8	4	0	4	0	0	0	7	9	4	0	7	6	8	10	10	8	8	11	5	0	0	9	8	3	1	0	0	10	3	3	0	15	7
GO:0009245	lipid A biosynthetic process	biological process	976	743	773	787	516	745	10	1773	773	116	69	31	387	151	1534	1700	1631	748	453	541	274	15	335	1558	1785	973	32	1382	1299	1677	1414	1641	1432	1269	2216	1041	10	105	2089	2263	633	600	485	18	2384	534	679	235	2678	1228
GO:0009246	enterobacterial common antigen biosynthetic process	biological process	1	1	0	1	1	1	0	2	1	0	0	0	0	0	2	2	3	1	0	2	0	0	0	3	3	1	0	2	1	2	4	1	1	1	3	0	0	0	2	4	1	1	1	0	2	1	1	0	4	1
GO:0009247	glycolipid biosynthetic process	biological process	7	5	1	4	4	6	13	5	2	2	6	2	27	50	9	8	11	6	5	6	49	8	16	4	6	7	18	4	7	6	10	5	6	4	16	4	41	40	4	8	4	4	5	35	5	10	8	51	14	15
GO:0009249	protein lipoylation	biological process	224	187	182	203	117	198	0	369	188	40	22	12	110	47	310	377	358	207	118	139	73	7	85	346	390	239	12	279	303	397	332	371	329	325	508	244	1	35	485	507	151	142	112	9	522	128	164	88	600	283
GO:0009250	glucan biosynthetic process	biological process	1	1	1	2	2	1	0	2	2	0	0	0	1	0	1	2	2	1	0	0	1	0	1	2	2	1	0	2	1	2	1	2	2	2	2	1	0	0	2	2	0	0	0	0	2	1	2	1	1	2
GO:0009252	peptidoglycan biosynthetic process	biological process	238	192	207	205	102	176	0	409	191	14	5	3	47	13	382	409	392	177	80	113	33	1	34	350	372	205	5	275	229	303	279	331	283	273	388	190	1	15	368	402	108	105	77	2	427	105	116	46	471	232
GO:0009253	peptidoglycan catabolic process	biological process	345	313	278	308	184	271	9	747	320	50	32	9	205	63	542	615	547	349	200	301	118	7	137	709	620	463	21	451	437	537	513	561	513	458	770	371	7	54	850	810	261	279	191	10	899	253	290	129	1010	595
GO:0009254	peptidoglycan turnover	biological process	227	175	200	196	127	192	0	445	209	28	15	4	92	39	389	440	385	193	107	107	65	5	77	347	422	248	7	353	339	405	391	417	368	323	571	261	1	20	554	618	150	151	104	4	640	128	189	47	693	308
GO:0009255	Entner-Doudoroff pathway through 6-phosphogluconate	biological process	15	21	20	15	10	18	0	26	17	0	0	0	3	1	25	33	29	16	8	11	1	0	2	23	22	18	0	21	13	20	18	25	18	24	28	13	0	0	21	22	14	7	9	0	26	8	13	3	27	18
GO:0009264	deoxyribonucleotide catabolic process	biological process	55	50	41	47	23	40	2	112	47	10	3	2	26	10	86	86	68	64	20	44	10	1	15	103	64	76	3	51	61	66	78	67	76	69	109	47	1	10	103	97	29	34	25	0	111	19	22	19	117	72
GO:0009267	cellular response to starvation	biological process	17	14	14	21	11	22	0	26	15	8	6	5	19	11	27	32	25	21	12	14	11	2	10	23	25	19	1	16	21	24	30	28	28	27	28	17	1	13	26	29	6	7	8	1	22	3	6	14	36	25
GO:0009271	phage shock	biological process	7	6	6	8	2	5	0	11	7	1	1	1	2	2	9	10	10	4	3	5	1	1	2	8	9	7	1	8	9	9	9	9	8	10	10	6	0	1	9	10	5	6	4	1	13	3	4	1	15	10
GO:0009274	peptidoglycan-based cell wall	cellular component	4	4	5	5	1	6	0	8	3	1	0	0	0	0	8	8	6	3	2	1	0	0	1	6	7	4	0	4	5	6	5	5	6	5	4	2	0	0	6	6	1	2	0	0	5	1	2	1	8	5
GO:0009276	Gram-negative-bacterium-type cell wall	cellular component	144	114	114	132	74	114	0	235	110	10	12	4	46	17	220	233	214	120	57	93	28	1	32	208	225	136	3	173	147	181	183	211	175	177	246	131	0	14	240	253	84	67	71	0	250	81	105	35	305	168
GO:0009279	cell outer membrane	cellular component	257	201	191	231	113	194	1	442	227	27	23	5	99	42	394	467	401	216	91	153	77	1	80	406	413	236	10	317	328	407	378	385	347	355	480	230	2	51	510	504	170	143	135	4	502	157	191	83	592	313
GO:0009288	bacterial-type flagellum	cellular component	322	261	268	268	153	208	0	533	245	21	16	12	102	47	536	524	429	239	124	173	74	1	96	401	431	245	4	404	369	443	470	484	410	424	587	293	4	28	521	621	188	189	143	1	694	180	199	79	750	348
GO:0009289	pilus	cellular component	15	19	14	18	6	14	3	40	18	2	1	0	15	7	24	33	27	21	11	19	5	0	12	32	26	28	3	17	18	24	26	27	31	20	36	12	0	5	41	40	18	13	15	1	41	19	20	11	43	36
GO:0009291	unidirectional conjugation	biological process	1	0	0	0	0	0	0	0	0	4	0	0	1	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	10	11	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
GO:0009294	DNA mediated transformation	biological process	62	55	57	64	44	50	2	94	56	13	14	4	44	18	87	94	88	71	41	48	34	3	32	87	83	72	6	72	86	87	98	97	76	100	101	50	2	19	98	103	47	46	40	4	108	46	55	41	133	90
GO:0009295	nucleoid	cellular component	3	1	4	3	1	3	0	3	4	2	0	0	2	2	4	4	4	6	2	4	3	0	4	4	4	3	0	3	3	6	3	2	3	4	4	1	0	5	6	5	2	2	2	0	6	3	2	5	6	5
GO:0009297	pilus assembly	biological process	2	3	2	1	2	2	0	4	0	0	0	0	1	1	4	5	5	1	2	1	2	0	1	5	3	2	0	1	1	3	2	3	3	3	2	0	0	1	3	4	1	0	0	0	4	1	1	2	4	1
GO:0009298	GDP-mannose biosynthetic process	biological process	21	25	15	16	10	15	15	51	19	5	4	3	26	27	44	23	25	36	15	21	19	9	19	62	30	46	9	26	23	35	26	27	25	17	52	20	12	11	43	47	14	13	14	9	41	13	17	25	53	47
GO:0009306	protein secretion	biological process	1208	1019	965	1086	647	920	20	1888	1026	197	110	55	507	267	1839	1973	1737	993	561	725	403	23	414	1606	1680	1124	44	1381	1505	1765	1805	1859	1631	1639	2360	1190	26	199	2078	2317	853	780	620	24	2418	712	825	411	2733	1521
GO:0009307	DNA restriction-modification system	biological process	12	10	11	14	3	5	0	47	6	1	2	0	11	7	50	51	45	14	6	10	4	0	6	32	43	24	0	32	26	28	25	28	23	18	54	17	0	3	43	47	7	6	7	1	62	4	5	1	54	21
GO:0009308	amine metabolic process	biological process	29	22	25	29	13	20	0	44	20	8	2	1	22	15	44	43	42	31	12	13	20	0	18	37	41	32	0	23	28	31	34	37	41	34	49	28	1	4	43	42	22	24	14	0	34	20	17	21	52	53
GO:0009310	amine catabolic process	biological process	2	2	2	2	0	2	0	4	3	0	0	0	0	0	3	3	3	1	0	1	0	0	0	3	3	2	0	1	2	3	3	2	3	3	3	1	0	0	3	3	1	0	0	0	2	0	0	0	3	2
GO:0009312	oligosaccharide biosynthetic process	biological process	5	6	3	1	2	3	2	9	2	2	2	0	9	6	10	7	9	2	3	4	8	0	9	11	11	6	7	7	8	10	3	8	5	4	4	3	8	10	14	8	1	3	1	7	5	3	5	12	8	7
GO:0009316	3-isopropylmalate dehydratase complex	cellular component	156	123	119	140	78	121	2	262	115	17	10	0	52	21	233	262	231	106	57	75	23	1	40	187	224	131	4	160	187	227	214	240	214	205	296	146	1	16	275	274	96	102	77	4	280	84	100	39	326	164
GO:0009317	acetyl-CoA carboxylase complex	cellular component	541	425	411	469	270	370	3	961	437	68	53	18	180	81	893	975	912	415	225	300	133	7	160	794	852	466	14	665	702	886	840	947	832	772	1231	589	5	76	1095	1185	352	353	273	11	1283	298	405	157	1370	672
GO:0009318	exodeoxyribonuclease VII complex	cellular component	209	189	178	204	130	175	0	321	175	24	16	8	78	32	318	347	290	161	96	132	52	1	63	256	293	194	8	235	259	307	306	316	287	286	411	217	0	31	359	397	130	140	105	7	430	110	138	70	493	267
GO:0009326	formate dehydrogenase complex	cellular component	7	7	5	4	3	4	0	8	6	0	0	0	2	1	11	12	9	5	3	5	0	0	1	8	7	8	0	6	4	6	6	5	10	6	7	9	0	1	5	7	6	1	3	0	11	4	6	1	10	5
GO:0009331	glycerol-3-phosphate dehydrogenase complex	cellular component	256	230	222	253	130	204	5	385	207	40	28	8	88	48	381	383	370	219	111	155	71	5	90	349	377	233	12	296	301	378	375	434	367	368	515	253	11	49	471	507	166	157	134	11	499	135	152	85	587	321
GO:0009337	sulfite reductase complex (NADPH)	cellular component	0	1	0	0	0	0	0	3	0	0	0	0	1	0	2	2	2	2	0	1	0	0	1	1	1	1	0	1	0	0	2	1	0	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	2	1
GO:0009338	exodeoxyribonuclease V complex	cellular component	2	1	1	2	1	1	0	6	2	1	0	0	1	0	9	12	4	1	0	1	0	0	1	3	5	2	0	5	3	3	4	5	7	4	10	1	0	0	7	8	1	0	0	0	7	1	1	4	9	2
GO:0009341	beta-galactosidase complex	cellular component	46	36	38	34	28	35	0	70	43	11	10	4	34	14	66	61	54	34	29	38	26	0	26	66	55	50	4	47	59	75	74	67	55	61	80	45	1	15	70	71	43	37	39	3	78	35	43	24	97	57
GO:0009346	citrate lyase complex	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0009347	aspartate carbamoyltransferase complex	cellular component	3	2	2	2	2	2	0	4	2	1	1	0	0	1	4	4	3	2	2	1	0	0	0	3	3	3	0	2	2	5	3	3	3	2	6	3	0	0	3	3	1	1	2	0	2	0	0	0	4	3
GO:0009349	riboflavin synthase complex	cellular component	187	151	160	172	94	150	3	335	163	28	18	7	70	33	275	308	295	153	86	106	56	3	61	284	305	172	6	239	247	304	295	307	288	249	440	199	1	23	373	408	132	114	93	8	421	97	124	51	487	231
GO:0009358	polyphosphate kinase complex	cellular component	63	46	47	47	28	42	1	94	51	9	8	0	16	9	87	99	77	50	26	38	16	1	15	74	85	54	3	63	61	69	72	78	63	69	93	50	0	9	84	102	35	31	23	2	97	34	43	20	111	67
GO:0009360	DNA polymerase III complex	cellular component	573	430	428	515	296	420	5	995	467	59	40	16	240	89	878	1008	925	438	239	316	147	11	180	863	932	473	26	705	734	907	846	971	824	766	1283	595	6	85	1120	1247	355	366	287	20	1212	324	390	155	1442	697
GO:0009366	enterobactin synthetase complex	cellular component	7	9	9	9	4	7	0	11	7	1	1	0	3	1	12	15	12	6	5	4	2	0	2	10	10	7	0	9	9	11	14	13	12	12	11	9	0	0	14	12	4	4	6	0	16	6	6	4	23	8
GO:0009372	quorum sensing	biological process	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0
GO:0009374	biotin binding	molecular function	8	7	6	6	3	6	0	12	7	1	0	0	1	0	13	14	14	8	2	3	0	0	1	12	11	7	0	9	5	10	8	7	5	7	14	5	0	0	9	12	3	1	3	0	11	2	1	3	11	5
GO:0009376	HslUV protease complex	cellular component	134	101	96	115	56	78	0	268	98	11	3	1	31	10	234	305	263	87	45	62	16	0	28	172	195	97	2	154	164	202	191	215	181	164	294	132	1	7	260	257	75	74	56	2	305	70	84	24	309	149
GO:0009378	four-way junction helicase activity	molecular function	301	255	267	286	182	247	3	481	271	55	29	17	149	81	418	420	391	308	156	222	132	8	133	398	398	299	15	307	344	430	442	443	400	419	536	298	2	45	498	518	203	225	174	4	483	168	191	119	633	411
GO:0009379	Holliday junction helicase complex	cellular component	85	65	73	66	47	64	0	136	70	12	8	2	32	13	120	133	126	70	40	53	30	1	27	121	115	78	3	80	94	114	113	119	102	109	153	76	0	10	135	152	59	58	47	0	138	40	52	30	184	108
GO:0009380	excinuclease repair complex	cellular component	172	139	162	150	80	129	0	320	143	12	10	1	35	14	279	356	312	127	68	94	34	0	33	250	285	171	2	194	173	220	221	264	204	200	341	144	0	14	307	307	85	86	64	2	331	82	98	33	369	187
GO:0009381	excinuclease ABC activity	molecular function	246	183	220	200	108	165	0	439	195	16	12	1	55	18	387	488	423	174	90	129	43	0	47	346	377	236	2	266	221	288	289	337	264	263	440	188	0	18	400	404	105	104	82	3	424	110	130	42	484	233
GO:0009394	2'-deoxyribonucleotide metabolic process	biological process	39	34	40	34	22	38	0	68	35	6	1	2	15	11	57	63	61	33	31	29	14	0	19	52	65	47	0	44	58	69	63	77	65	64	91	58	0	7	86	98	39	38	25	1	88	23	27	19	114	55
GO:0009395	phospholipid catabolic process	biological process	0	0	1	0	0	0	2	1	0	1	0	0	0	2	0	0	1	1	0	1	5	3	3	0	0	0	2	0	0	0	0	0	1	0	1	1	4	4	0	0	0	1	1	2	0	1	1	2	0	2
GO:0009396	folic acid-containing compound biosynthetic process	biological process	517	429	410	456	258	398	4	977	439	67	38	11	183	59	839	937	910	405	232	308	120	8	149	775	894	478	19	658	667	826	779	836	715	705	1152	514	6	61	1091	1142	306	324	248	16	1192	277	350	136	1351	655
GO:0009399	nitrogen fixation	biological process	59	53	58	54	28	39	0	105	47	9	3	1	13	6	96	105	94	50	29	33	13	0	12	74	76	50	3	53	63	82	74	82	72	70	101	52	2	6	91	94	30	29	28	3	115	25	41	16	95	58
GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	biological process	91	79	80	81	53	68	1	136	83	15	10	7	36	18	134	144	120	77	31	44	24	0	33	115	129	81	2	102	102	136	121	125	117	103	170	89	3	9	146	149	41	53	33	3	145	40	41	34	193	107
GO:0009403	toxin biosynthetic process	biological process	140	120	134	128	79	119	2	297	128	17	12	4	53	16	235	286	272	118	56	77	30	2	41	255	284	148	6	205	191	263	228	275	223	201	361	156	1	24	332	372	103	80	70	3	393	94	107	35	409	208
GO:0009404	toxin metabolic process	biological process	0	0	0	0	1	4	0	19	6	0	0	0	3	0	7	5	5	5	1	5	1	0	0	17	12	11	0	8	2	5	1	1	2	0	9	1	0	0	20	11	5	5	0	0	22	3	5	0	17	13
GO:0009405	pathogenesis	biological process	64	51	60	58	28	57	5	117	81	11	7	4	34	28	97	109	90	75	35	58	29	3	29	118	93	67	12	68	67	84	98	93	82	93	114	36	9	17	112	108	39	40	35	8	113	61	71	33	146	102
GO:0009408	response to heat	biological process	142	119	141	139	63	98	0	274	108	10	2	3	33	11	232	279	242	109	61	77	16	0	21	191	214	130	5	166	143	169	181	200	165	162	261	116	0	10	232	244	64	58	46	0	275	58	66	22	272	138
GO:0009411	response to UV	biological process	19	58	24	27	14	19	0	118	26	2	3	1	34	14	59	43	36	62	26	48	20	0	25	137	50	81	2	44	45	73	51	57	55	34	87	26	0	6	95	86	23	38	15	0	126	34	30	10	93	96
GO:0009415	response to water	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
